MEP	id
ALCAM|1_ANGPT1|1	1550641
ALCAM|1_ANGPT2|1	1555737
ALCAM|1_AREG	1584109
ALCAM|1_BMP2	1548683
ALCAM|1_BMP3	1521782
ALCAM|1_BMP4	1572720
ALCAM|1_BMP5|1	1574820
ALCAM|1_BMP6	1559867
ALCAM|1_BMP7	1585537
ALCAM|1_CSF2	1574331
ALCAM|1_CTGF|1	1564380
ALCAM|1_CXCL1	1561510
ALCAM|1_CXCL12|Alpha	1579341
ALCAM|1_CXCL12|Beta	1538571
ALCAM|1_CXCL8|1	1557144
ALCAM|1_DLL1|1	1525567
ALCAM|1_DLL4	1512244
ALCAM|1_EGF|1	1547367
ALCAM|1_FASLG|1	1591733
ALCAM|1_FBS	1559999
ALCAM|1_FGF2|3	1565483
ALCAM|1_FGF6	1566701
ALCAM|1_FLT3LG|1	1561283
ALCAM|1_GPNMB|1	1527737
ALCAM|1_HGF|1	1562728
ALCAM|1_IGF1|1	1558412
ALCAM|1_IGFBP2	1590431
ALCAM|1_IGFBP3|1	1581583
ALCAM|1_IL13	1552041
ALCAM|1_IL15|IL15S48AA	1529537
ALCAM|1_IL1B	1556733
ALCAM|1_IL6	1587883
ALCAM|1_IL7|1	1567331
ALCAM|1_JAG1|1	1534028
ALCAM|1_JAG2|Long	1555371
ALCAM|1_KITLG|1	1551341
ALCAM|1_KNG1|HMW	1578067
ALCAM|1_LEP	1519967
ALCAM|1_LYVE1	1502567
ALCAM|1_NRG1|1	1576170
ALCAM|1_NRG1|10	1589640
ALCAM|1_NRG1|6	1552741
ALCAM|1_PDGFAB	1583170
ALCAM|1_PDGFB|1	1568520
ALCAM|1_PTN	1570674
ALCAM|1_SHH	1540344
ALCAM|1_TGFB1||Cterminus	1550074
ALCAM|1_TGFB1||LAP	1568009
ALCAM|1_TGFB2|A	1586140
ALCAM|1_THPO|1	1553971
ALCAM|1_TNF	1580637
ALCAM|1_TNFRSF11B	1559174
ALCAM|1_TNFSF11|1	1523010
ALCAM|1_VEGFA|VEGF206	1586774
ALCAM|1_WNT10A	1569541
ALCAM|1_WNT3A|1	1581699
ALCAM|1_Wnt5a|1	1513541
BCAN|1_ANGPT1|1	1550195
BCAN|1_ANGPT2|1	1505821
BCAN|1_AREG	1584291
BCAN|1_BMP2	1498122
BCAN|1_BMP3	1572407
BCAN|1_BMP4	1522195
BCAN|1_BMP5|1	1575304
BCAN|1_BMP6	1559816
BCAN|1_BMP7	1534999
BCAN|1_CSF2	1574500
BCAN|1_CTGF|1	1513811
BCAN|1_CXCL1	1561821
BCAN|1_CXCL12|Alpha	1579504
BCAN|1_CXCL12|Beta	1588607
BCAN|1_CXCL8|1	1557804
BCAN|1_DLL1|1	1525020
BCAN|1_DLL4	1562704
BCAN|1_EGF|1	1547907
BCAN|1_FASLG|1	1541104
BCAN|1_FBS	1588117
BCAN|1_FGF2|3	1564911
BCAN|1_FGF6	1515920
BCAN|1_FLT3LG|1	1561122
BCAN|1_GPNMB|1	1578116
BCAN|1_HGF|1	1562716
BCAN|1_IGF1|1	1558504
BCAN|1_IGFBP2	1590591
BCAN|1_IGFBP3|1	1530516
BCAN|1_IL13	1551794
BCAN|1_IL15|IL15S48AA	1579595
BCAN|1_IL1B	1556694
BCAN|1_IL6	1587722
BCAN|1_IL7|1	1567194
BCAN|1_JAG1|1	1584495
BCAN|1_JAG2|Long	1555190
BCAN|1_KITLG|1	1551400
BCAN|1_KNG1|HMW	1527236
BCAN|1_LEP	1569811
BCAN|1_LYVE1	1502690
BCAN|1_NRG1|1	1576607
BCAN|1_NRG1|10	1589821
BCAN|1_NRG1|6	1552721
BCAN|1_PDGFAB	1583522
BCAN|1_PDGFB|1	1568395
BCAN|1_PTN	1520522
BCAN|1_SHH	1590994
BCAN|1_TGFB1||Cterminus	1549590
BCAN|1_TGFB1||LAP	1567899
BCAN|1_TGFB2|A	1536104
BCAN|1_THPO|1	1553607
BCAN|1_TNF	1580216
BCAN|1_TNFRSF11B	1558736
BCAN|1_TNFSF11|1	1573895
BCAN|1_VEGFA|VEGF206	1586917
BCAN|1_WNT10A	1569704
BCAN|1_WNT3A|1	1582216
BCAN|1_Wnt5a|1	1564104
BGN_ANGPT1|1	1550475
BGN_ANGPT2|1	1555797
BGN_AREG	1584397
BGN_BMP2	1498214
BGN_BMP3	1572016
BGN_BMP4	1573095
BGN_BMP5|1	1575095
BGN_BMP6	1559790
BGN_BMP7	1534786
BGN_CSF2	1523995
BGN_CTGF|1	1514095
BGN_CXCL1	1561895
BGN_CXCL12|Alpha	1579497
BGN_CXCL12|Beta	1588723
BGN_CXCL8|1	1506787
BGN_DLL1|1	1575636
BGN_DLL4	1562087
BGN_EGF|1	1547423
BGN_FASLG|1	1591995
BGN_FBS	1548916
BGN_FGF2|3	1565425
BGN_FGF6	1566825
BGN_FLT3LG|1	1560625
BGN_GPNMB|1	1578596
BGN_HGF|1	1563288
BGN_IGF1|1	1507486
BGN_IGFBP2	1590595
BGN_IGFBP3|1	1531090
BGN_IL13	1551586
BGN_IL15|IL15S48AA	1580088
BGN_IL1B	1556988
BGN_IL6	1587323
BGN_IL7|1	1517186
BGN_JAG1|1	1584486
BGN_JAG2|Long	1555625
BGN_KITLG|1	1551295
BGN_KNG1|HMW	1577815
BGN_LEP	1519416
BGN_LYVE1	1503125
BGN_NRG1|1	1525936
BGN_NRG1|10	1589895
BGN_NRG1|6	1552897
BGN_PDGFAB	1532723
BGN_PDGFB|1	1518597
BGN_PTN	1570414
BGN_SHH	1590821
BGN_TGFB1||Cterminus	1549990
BGN_TGFB1||LAP	1567697
BGN_TGFB2|A	1535521
BGN_THPO|1	1553716
BGN_TNF	1580287
BGN_TNFRSF11B	1558623
BGN_TNFSF11|1	1573575
BGN_VEGFA|VEGF206	1536315
BGN_WNT10A	1569697
BGN_WNT3A|1	1582015
BGN_Wnt5a|1	1563487
CD44|1_ANGPT1|1	1550438
CD44|1_ANGPT2|1	1556245
CD44|1_AREG	1533428
CD44|1_BMP2	1548485
CD44|1_BMP3	1571878
CD44|1_BMP4	1572809
CD44|1_BMP5|1	1575226
CD44|1_BMP6	1559366
CD44|1_BMP7	1585228
CD44|1_CSF2	1523610
CD44|1_CTGF|1	1514378
CD44|1_CXCL1	1561326
CD44|1_CXCL12|Alpha	1579026
CD44|1_CXCL12|Beta	1538278
CD44|1_CXCL8|1	1557210
CD44|1_DLL1|1	1525483
CD44|1_DLL4	1511710
CD44|1_EGF|1	1547702
CD44|1_FASLG|1	1591510
CD44|1_FBS	1549283
CD44|1_FGF2|3	1565275
CD44|1_FGF6	1516386
CD44|1_FLT3LG|1	1561183
CD44|1_GPNMB|1	1578643
CD44|1_HGF|1	1562926
CD44|1_IGF1|1	1558426
CD44|1_IGFBP2	1590626
CD44|1_IGFBP3|1	1581273
CD44|1_IL13	1501726
CD44|1_IL15|IL15S48AA	1529733
CD44|1_IL1B	1556738
CD44|1_IL6	1587278
CD44|1_IL7|1	1567445
CD44|1_JAG1|1	1584626
CD44|1_JAG2|Long	1555367
CD44|1_KITLG|1	1550928
CD44|1_KNG1|HMW	1577802
CD44|1_LEP	1569868
CD44|1_LYVE1	1553578
CD44|1_NRG1|1	1576583
CD44|1_NRG1|10	1589333
CD44|1_NRG1|6	1552538
CD44|1_PDGFAB	1583085
CD44|1_PDGFB|1	1568536
CD44|1_PTN	1571078
CD44|1_SHH	1591333
CD44|1_TGFB1||Cterminus	1549767
CD44|1_TGFB1||LAP	1568143
CD44|1_TGFB2|A	1586026
CD44|1_THPO|1	1553768
CD44|1_TNF	1580310
CD44|1_TNFRSF11B	1558585
CD44|1_TNFSF11|1	1573743
CD44|1_VEGFA|VEGF206	1587178
CD44|1_WNT10A	1569344
CD44|1_WNT3A|1	1582183
CD44|1_Wnt5a|1	1563510
CDH15_ANGPT1|1	1550562
CDH15_ANGPT2|1	1556162
CDH15_AREG	1533846
CDH15_BMP2	1497664
CDH15_BMP3	1521837
CDH15_BMP4	1573046
CDH15_BMP5|1	1574953
CDH15_BMP6	1559749
CDH15_BMP7	1585571
CDH15_CSF2	1574053
CDH15_CTGF|1	1564537
CDH15_CXCL1	1511153
CDH15_CXCL12|Alpha	1528968
CDH15_CXCL12|Beta	1588840
CDH15_CXCL8|1	1557453
CDH15_DLL1|1	1575458
CDH15_DLL4	1562546
CDH15_EGF|1	1547549
CDH15_FASLG|1	1541162
CDH15_FBS	1504258
CDH15_FGF2|3	1565349
CDH15_FGF6	1566440
CDH15_FLT3LG|1	1561037
CDH15_GPNMB|1	1528258
CDH15_HGF|1	1562953
CDH15_IGF1|1	1558447
CDH15_IGFBP2	1590162
CDH15_IGFBP3|1	1581140
CDH15_IL13	1501668
CDH15_IL15|IL15S48AA	1580058
CDH15_IL1B	1556674
CDH15_IL6	1587449
CDH15_IL7|1	1567053
CDH15_JAG1|1	1584953
CDH15_JAG2|Long	1555153
CDH15_KITLG|1	1551358
CDH15_KNG1|HMW	1577464
CDH15_LEP	1519658
CDH15_LYVE1	1553053
CDH15_NRG1|1	1576158
CDH15_NRG1|10	1589858
CDH15_NRG1|6	1501962
CDH15_PDGFAB	1583249
CDH15_PDGFB|1	1568453
CDH15_PTN	1570464
CDH15_SHH	1591171
CDH15_TGFB1||Cterminus	1549558
CDH15_TGFB1||LAP	1567874
CDH15_TGFB2|A	1586353
CDH15_THPO|1	1503758
CDH15_TNF	1580753
CDH15_TNFRSF11B	1508253
CDH15_TNFSF11|1	1573662
CDH15_VEGFA|VEGF206	1586643
CDH15_WNT10A	1569353
CDH15_WNT3A|1	1581743
CDH15_Wnt5a|1	1563862
CDH1|1_ANGPT1|1	1550630
CDH1|1_ANGPT2|1	1555830
CDH1|1_AREG	1533726
CDH1|1_BMP2	1498280
CDH1|1_BMP3	1521678
CDH1|1_BMP4	1572933
CDH1|1_BMP5|1	1574830
CDH1|1_BMP6	1559577
CDH1|1_BMP7	1535034
CDH1|1_CSF2	1524030
CDH1|1_CTGF|1	1514077
CDH1|1_CXCL1	1511130
CDH1|1_CXCL12|Alpha	1579330
CDH1|1_CXCL12|Beta	1588787
CDH1|1_CXCL8|1	1557434
CDH1|1_DLL1|1	1575585
CDH1|1_DLL4	1512124
CDH1|1_EGF|1	1547686
CDH1|1_FASLG|1	1592031
CDH1|1_FBS	1537778
CDH1|1_FGF2|3	1565381
CDH1|1_FGF6	1566781
CDH1|1_FLT3LG|1	1560878
CDH1|1_GPNMB|1	1578622
CDH1|1_HGF|1	1562731
CDH1|1_IGF1|1	1507630
CDH1|1_IGFBP2	1590440
CDH1|1_IGFBP3|1	1581481
CDH1|1_IL13	1501443
CDH1|1_IL15|IL15S48AA	1580024
CDH1|1_IL1B	1556530
CDH1|1_IL6	1587568
CDH1|1_IL7|1	1567430
CDH1|1_JAG1|1	1584431
CDH1|1_JAG2|Long	1555377
CDH1|1_KITLG|1	1551233
CDH1|1_KNG1|HMW	1577671
CDH1|1_LEP	1570068
CDH1|1_LYVE1	1553286
CDH1|1_NRG1|1	1525986
CDH1|1_NRG1|10	1589430
CDH1|1_NRG1|6	1552543
CDH1|1_PDGFAB	1583181
CDH1|1_PDGFB|1	1568530
CDH1|1_PTN	1570671
CDH1|1_SHH	1591126
CDH1|1_TGFB1||Cterminus	1499189
CDH1|1_TGFB1||LAP	1568040
CDH1|1_TGFB2|A	1586324
CDH1|1_THPO|1	1554181
CDH1|1_TNF	1580724
CDH1|1_TNFRSF11B	1558886
CDH1|1_TNFSF11|1	1573626
CDH1|1_VEGFA|VEGF206	1586580
CDH1|1_WNT10A	1519026
CDH1|1_WNT3A|1	1581968
CDH1|1_Wnt5a|1	1563431
CDH20_ANGPT1|1	1550234
CDH20_ANGPT2|1	1555834
CDH20_AREG	1584237
CDH20_BMP2	1497681
CDH20_BMP3	1572268
CDH20_BMP4	1572714
CDH20_BMP5|1	1574630
CDH20_BMP6	1559789
CDH20_BMP7	1535330
CDH20_CSF2	1574536
CDH20_CTGF|1	1564689
CDH20_CXCL1	1561517
CDH20_CXCL12|Alpha	1528436
CDH20_CXCL12|Beta	1588681
CDH20_CXCL8|1	1557637
CDH20_DLL1|1	1575889
CDH20_DLL4	1562636
CDH20_EGF|1	1547981
CDH20_FASLG|1	1592030
CDH20_FBS	1504394
CDH20_FGF2|3	1565371
CDH20_FGF6	1566875
CDH20_FLT3LG|1	1561281
CDH20_GPNMB|1	1578240
CDH20_HGF|1	1563330
CDH20_IGF1|1	1557836
CDH20_IGFBP2	1590122
CDH20_IGFBP3|1	1531077
CDH20_IL13	1551640
CDH20_IL15|IL15S48AA	1529136
CDH20_IL1B	1506243
CDH20_IL6	1587281
CDH20_IL7|1	1567022
CDH20_JAG1|1	1585036
CDH20_JAG2|Long	1505177
CDH20_KITLG|1	1550940
CDH20_KNG1|HMW	1577481
CDH20_LEP	1570271
CDH20_LYVE1	1553489
CDH20_NRG1|1	1576675
CDH20_NRG1|10	1589837
CDH20_NRG1|6	1501836
CDH20_PDGFAB	1583589
CDH20_PDGFB|1	1568440
CDH20_PTN	1570989
CDH20_SHH	1590914
CDH20_TGFB1||Cterminus	1549481
CDH20_TGFB1||LAP	1567630
CDH20_TGFB2|A	1586337
CDH20_THPO|1	1553774
CDH20_TNF	1530430
CDH20_TNFRSF11B	1508604
CDH20_TNFSF11|1	1522922
CDH20_VEGFA|VEGF206	1586968
CDH20_WNT10A	1569036
CDH20_WNT3A|1	1531374
CDH20_Wnt5a|1	1563540
CDH3|1_ANGPT1|1	1550398
CDH3|1_ANGPT2|1	1505703
CDH3|1_AREG	1584096
CDH3|1_BMP2	1548505
CDH3|1_BMP3	1571909
CDH3|1_BMP4	1572870
CDH3|1_BMP5|1	1575003
CDH3|1_BMP6	1559705
CDH3|1_BMP7	1585393
CDH3|1_CSF2	1574303
CDH3|1_CTGF|1	1514311
CDH3|1_CXCL1	1561670
CDH3|1_CXCL12|Alpha	1579500
CDH3|1_CXCL12|Beta	1588708
CDH3|1_CXCL8|1	1507080
CDH3|1_DLL1|1	1525405
CDH3|1_DLL4	1562490
CDH3|1_EGF|1	1547718
CDH3|1_FASLG|1	1541602
CDH3|1_FBS	1510005
CDH3|1_FGF2|3	1565305
CDH3|1_FGF6	1566309
CDH3|1_FLT3LG|1	1560941
CDH3|1_GPNMB|1	1528070
CDH3|1_HGF|1	1512593
CDH3|1_IGF1|1	1507780
CDH3|1_IGFBP2	1590396
CDH3|1_IGFBP3|1	1581009
CDH3|1_IL13	1551997
CDH3|1_IL15|IL15S48AA	1529597
CDH3|1_IL1B	1557003
CDH3|1_IL6	1537411
CDH3|1_IL7|1	1567193
CDH3|1_JAG1|1	1584698
CDH3|1_JAG2|Long	1555109
CDH3|1_KITLG|1	1551290
CDH3|1_KNG1|HMW	1577731
CDH3|1_LEP	1519641
CDH3|1_LYVE1	1553313
CDH3|1_NRG1|1	1576418
CDH3|1_NRG1|10	1589593
CDH3|1_NRG1|6	1502093
CDH3|1_PDGFAB	1532708
CDH3|1_PDGFB|1	1568790
CDH3|1_PTN	1570818
CDH3|1_SHH	1591190
CDH3|1_TGFB1||Cterminus	1549508
CDH3|1_TGFB1||LAP	1517690
CDH3|1_TGFB2|A	1535796
CDH3|1_THPO|1	1553908
CDH3|1_TNF	1530006
CDH3|1_TNFRSF11B	1558815
CDH3|1_TNFSF11|1	1573603
CDH3|1_VEGFA|VEGF206	1586721
CDH3|1_WNT10A	1569206
CDH3|1_WNT3A|1	1531613
CDH3|1_Wnt5a|1	1563803
CDH6|1_ANGPT1|1	1550417
CDH6|1_ANGPT2|1	1555724
CDH6|1_AREG	1583832
CDH6|1_BMP2	1548579
CDH6|1_BMP3	1572477
CDH6|1_BMP4	1573040
CDH6|1_BMP5|1	1575140
CDH6|1_BMP6	1559887
CDH6|1_BMP7	1534724
CDH6|1_CSF2	1574012
CDH6|1_CTGF|1	1564579
CDH6|1_CXCL1	1511315
CDH6|1_CXCL12|Alpha	1578824
CDH6|1_CXCL12|Beta	1588771
CDH6|1_CXCL8|1	1557724
CDH6|1_DLL1|1	1525479
CDH6|1_DLL4	1562317
CDH6|1_EGF|1	1547471
CDH6|1_FASLG|1	1591424
CDH6|1_FBS	1560587
CDH6|1_FGF2|3	1564986
CDH6|1_FGF6	1566799
CDH6|1_FLT3LG|1	1561287
CDH6|1_GPNMB|1	1578417
CDH6|1_HGF|1	1563225
CDH6|1_IGF1|1	1557912
CDH6|1_IGFBP2	1540224
CDH6|1_IGFBP3|1	1530587
CDH6|1_IL13	1501124
CDH6|1_IL15|IL15S48AA	1529724
CDH6|1_IL1B	1556424
CDH6|1_IL6	1587877
CDH6|1_IL7|1	1517040
CDH6|1_JAG1|1	1584925
CDH6|1_JAG2|Long	1555186
CDH6|1_KITLG|1	1550932
CDH6|1_KNG1|HMW	1527579
CDH6|1_LEP	1569871
CDH6|1_LYVE1	1553294
CDH6|1_NRG1|1	1525896
CDH6|1_NRG1|10	1589334
CDH6|1_NRG1|6	1502424
CDH6|1_PDGFAB	1532896
CDH6|1_PDGFB|1	1568715
CDH6|1_PTN	1570794
CDH6|1_SHH	1590724
CDH6|1_TGFB1||Cterminus	1499394
CDH6|1_TGFB1||LAP	1567917
CDH6|1_TGFB2|A	1586032
CDH6|1_THPO|1	1553786
CDH6|1_TNF	1580615
CDH6|1_TNFRSF11B	1558587
CDH6|1_TNFSF11|1	1573824
CDH6|1_VEGFA|VEGF206	1586686
CDH6|1_WNT10A	1569525
CDH6|1_WNT3A|1	1582199
CDH6|1_Wnt5a|1	1563512
CDH8_ANGPT1|1	1550120
CDH8_ANGPT2|1	1555841
CDH8_AREG	1584117
CDH8_BMP2	1498170
CDH8_BMP3	1572491
CDH8_BMP4	1572614
CDH8_BMP5|1	1575017
CDH8_BMP6	1559891
CDH8_BMP7	1585633
CDH8_CSF2	1573909
CDH8_CTGF|1	1564285
CDH8_CXCL1	1511520
CDH8_CXCL12|Alpha	1578941
CDH8_CXCL12|Beta	1588668
CDH8_CXCL8|1	1557510
CDH8_DLL1|1	1575701
CDH8_DLL4	1562043
CDH8_EGF|1	1547991
CDH8_FASLG|1	1541417
CDH8_FBS	1571670
CDH8_FGF2|3	1565370
CDH8_FGF6	1566402
CDH8_FLT3LG|1	1561291
CDH8_GPNMB|1	1527841
CDH8_HGF|1	1563233
CDH8_IGF1|1	1557820
CDH8_IGFBP2	1590620
CDH8_IGFBP3|1	1530801
CDH8_IL13	1551641
CDH8_IL15|IL15S48AA	1579509
CDH8_IL1B	1556817
CDH8_IL6	1587772
CDH8_IL7|1	1567433
CDH8_JAG1|1	1534509
CDH8_JAG2|Long	1505170
CDH8_KITLG|1	1551110
CDH8_KNG1|HMW	1578068
CDH8_LEP	1570391
CDH8_LYVE1	1502901
CDH8_NRG1|1	1576301
CDH8_NRG1|10	1589717
CDH8_NRG1|6	1552617
CDH8_PDGFAB	1583668
CDH8_PDGFB|1	1568439
CDH8_PTN	1571102
CDH8_SHH	1590720
CDH8_TGFB1||Cterminus	1499185
CDH8_TGFB1||LAP	1568133
CDH8_TGFB2|A	1586110
CDH8_THPO|1	1503797
CDH8_TNF	1580341
CDH8_TNFRSF11B	1508672
CDH8_TNFSF11|1	1523309
CDH8_VEGFA|VEGF206	1587168
CDH8_WNT10A	1569509
CDH8_WNT3A|1	1531402
CDH8_Wnt5a|1	1563541
CEACAM6_ANGPT1|1	1550725
CEACAM6_ANGPT2|1	1555940
CEACAM6_AREG	1584229
CEACAM6_BMP2	1548686
CEACAM6_BMP3	1571982
CEACAM6_BMP4	1572925
CEACAM6_BMP5|1	1574625
CEACAM6_BMP6	1559901
CEACAM6_BMP7	1534710
CEACAM6_CSF2	1524029
CEACAM6_CTGF|1	1514166
CEACAM6_CXCL1	1561829
CEACAM6_CXCL12|Alpha	1579045
CEACAM6_CXCL12|Beta	1588782
CEACAM6_CXCL8|1	1557437
CEACAM6_DLL1|1	1575986
CEACAM6_DLL4	1511610
CEACAM6_EGF|1	1547386
CEACAM6_FASLG|1	1591929
CEACAM6_FBS	1537874
CEACAM6_FGF2|3	1565501
CEACAM6_FGF6	1566486
CEACAM6_FLT3LG|1	1561301
CEACAM6_GPNMB|1	1578525
CEACAM6_HGF|1	1563125
CEACAM6_IGF1|1	1557920
CEACAM6_IGFBP2	1590337
CEACAM6_IGFBP3|1	1530881
CEACAM6_IL13	1501725
CEACAM6_IL15|IL15S48AA	1579745
CEACAM6_IL1B	1557025
CEACAM6_IL6	1587382
CEACAM6_IL7|1	1567325
CEACAM6_JAG1|1	1534330
CEACAM6_JAG2|Long	1504981
CEACAM6_KITLG|1	1551045
CEACAM6_KNG1|HMW	1577486
CEACAM6_LEP	1569882
CEACAM6_LYVE1	1502874
CEACAM6_NRG1|1	1576471
CEACAM6_NRG1|10	1589925
CEACAM6_NRG1|6	1501810
CEACAM6_PDGFAB	1583701
CEACAM6_PDGFB|1	1568725
CEACAM6_PTN	1571101
CEACAM6_SHH	1540637
CEACAM6_TGFB1||Cterminus	1550101
CEACAM6_TGFB1||LAP	1567625
CEACAM6_TGFB2|A	1586425
CEACAM6_THPO|1	1553686
CEACAM6_TNF	1530329
CEACAM6_TNFRSF11B	1558966
CEACAM6_TNFSF11|1	1573445
CEACAM6_VEGFA|VEGF206	1586682
CEACAM6_WNT10A	1569120
CEACAM6_WNT3A|1	1531486
CEACAM6_Wnt5a|1	1563730
COL1_ANGPT1|1	1550635
COL1_ANGPT2|1	1555882
COL1_AREG	1584350
COL1_BMP2	1498067
COL1_BMP3	1522061
COL1_BMP4	1572660
COL1_BMP5|1	1575150
COL1_BMP6	1559882
COL1_BMP7	1585265
COL1_CSF2	1574508
COL1_CTGF|1	1564439
COL1_CXCL1	1561565
COL1_CXCL12|Alpha	1529077
COL1_CXCL12|Beta	1589251
COL1_CXCL8|1	1557367
COL1_DLL1|1	1575772
COL1_DLL4	1562113
COL1_EGF|1	1547644
COL1_FASLG|1	1541465
COL1_FBS	1588280
COL1_FGF2|3	1565439
COL1_FGF6	1566803
COL1_FLT3LG|1	1561288
COL1_GPNMB|1	1528167
COL1_HGF|1	1512777
COL1_IGF1|1	1507865
COL1_IGFBP2	1590050
COL1_IGFBP3|1	1530698
COL1_IL13	1551608
COL1_IL15|IL15S48AA	1529665
COL1_IL1B	1506313
COL1_IL6	1587482
COL1_IL7|1	1567477
COL1_JAG1|1	1534629
COL1_JAG2|Long	1555544
COL1_KITLG|1	1551372
COL1_KNG1|HMW	1577703
COL1_LEP	1519339
COL1_LYVE1	1553556
COL1_NRG1|1	1576472
COL1_NRG1|10	1589882
COL1_NRG1|6	1552660
COL1_PDGFAB	1583193
COL1_PDGFB|1	1568582
COL1_PTN	1571029
COL1_SHH	1591208
COL1_TGFB1||Cterminus	1549682
COL1_TGFB1||LAP	1567923
COL1_TGFB2|A	1585960
COL1_THPO|1	1503844
COL1_TNF	1529813
