	ALCAM|1	BCAN|1	BGN	CD44|1	CDH15	CDH1|1	CDH20	CDH3|1	CDH6|1	CDH8	CEACAM6	COL1	COL23A1|1	COL2A1|2	COL3A1|1	COL4	COL5A1	DCN|A	DSG2	ECM1|1	ELN|3	FBN1	FN1|1	GAP43|1	HA<500kDa	HA>500kDa	ICAM1	ITGA10B1	ITGA2B1	ITGA3B1	ITGA4B1	ITGA6B4	ITGA9B1	ITGAMB2	ITGAVB6	LAMB1	LUM	Laminin3B32	NID1|1	OMD	PECAM1|Long	POSTN|1	SPARC	SPP1|A	THBS1|1	TNC|1	VCAM1|1	VTN
ANGPT1|1	0.17986937511530568	0.49560455425791916	-0.09217031048524961	0.49057051122311907	0.19477014249831182	0.53466872820796119	0.56567843330232515	0.36290717986060894	0.10234511237939618	0.35585951961188933	0.22739074136381141	0.46197714678545937	0.17966801339391328	0.25034597760249555	0.4629839553924196	0.43600148472589462	0.6510558031725221	0.53688370714327305	0.51916387566077959	0.20806001611018146	1.0692840985036496	0.11402409222013021	0.33451517714434076	0.35928266887555294	0.26283040432879828	0.33914649673635605	0.49016778778033515	0.62044882152094194	0.20081099414007034	0.74287674812726134	0.38022428790031848	0.36673305256705646	0.37055892527350398	0.47929425482516891	0.29343738598037838	0.70320848901304311	0.11905813525492942	0.59890311733200108	0.89973752909160842	0.50506855516334126	0.85463250349980613	0.086638898110822246	0.76824832502264984	0.17745303445860136	-0.26936862531018585	0.17080809765266655	0.63555095062533962	0.31417764328375153
ANGPT2|1	0.16657950150343515	-0.061361967112278031	-0.018673282177180024	-0.13949031501236384	-0.33038122689195359	-0.024512772097547039	0.41969118529314525	-0.094989374584737815	0.29625645007986567	0.16396179912533934	0.1853061415928888	0.12630715722504054	-0.21600776914131312	0.36612896740288015	0.36290717986060894	-0.14331618771881133	-0.37991621035437884	0.090464770817269752	-0.41132863889152671	0.28900742810975455	0.86409650440522912	-0.018874643898571526	-0.27983943482256818	0.011329614310223753	0.51876115221799568	-0.38072165723994666	0.073349024498951712	-0.018270558734396123	0.27269712867700518	0.21087908020966964	-0.02350596349058684	-0.070020521132133251	0.13355617919515167	0.11784996492657772	-0.042635327022824389	-0.37749986969767541	-0.65296270456189431	-0.46468949506039947	1.8044557433057424	-0.26373049711121033	-0.056126562356086422	-0.26493866743956296	-0.17331908420621511	0.085229366061078143	-0.5432205664032691	0.11019821951368271	-0.26836181670322568	-0.035184943331321765
AREG	0.27048214974169332	0.55742260272525468	0.58098192412811522	0.21591312324446887	0.72676781041590355	0.53748779230744936	0.5225870249244432	0.38425152232815751	1.2178890488909253	0.91081242376816707	0.52399655697418734	0.30229730172162511	0.89470348605680916	0.63816865300343539	0.87678229285292331	0.17080809765266655	0.67944780588879028	0.56165119887448611	0.76321428198785068	0.48835553228780804	0.7543543662466039	0.093283834916757055	0.57192064666547604	0.91061106204677467	-0.0057861320080933934	0.66515112366995954	0.46761527498443489	0.24732555178161675	1.0803589931802082	0.64259861087405923	0.36552488223870472	0.23323023128417841	0.93235812795710793	0.55822804961082251	-0.028942729968170846	0.35847722198998511	0.21651720840864427	0.5934663508544179	1.842714470370217	0.33169611304485258	0.5030549379494218	0.48251604236744017	0.50748489582004563	0.33793832640800436	-0.00075208897329417956	0.18651431192124049	0.90638246589754323	0.64380678120241097
BMP2	-5.629013563600326	-4.2128365770505818	-4.198741256553145	-4.0938317997079263	-4.6356961919737252	-4.2992207555277373	-4.7748371414555777	-4.6727467487098471	-4.2722382848612135	-4.7955773987589509	-3.3340940248960127	-5.2327336959009241	-5.0096249085986182	-3.8828047156891388	-4.2380067922245788	-5.0933913846976786	-5.8126554535098069	-4.6294539786105737	-4.5865639319540836	-3.8964973127437932	0.19215244012021601	-4.7444315215253905	-2.8075331234560035	-4.9268652411065172	-2.9746633522113402	-4.7744344180127944	-4.3576156547314113	-3.4287340339502395	-4.2913676483934511	-4.9830451613748785	-4.836051104758738	-4.0034203868029303	-3.8741461616692843	-4.6536173851776095	-4.7702058218635619	-4.6801971324013509	-5.2268942059805568	-3.8866305883955863	1.9184264776135989	-4.1673288280159966	-3.1810591166381124	-5.0456686567277815	-4.4852789860939213	-3.8358874346048091	-4.1335000588221451	-4.4903130291287194	-2.7747111628691123	-4.5185036701235965
BMP3	0.61783111914284616	0.36008811576112071	0.48996642605894364	0.54332728222781634	0.31176130262704721	0.55097902764071138	0.52278838664583471	0.47204523285505784	0.61440796987918256	0.34015330534331539	0.583599626506211	0.35827586026859365	0.61440796987918256	0.13254937058819147	0.53124557894429758	0.41002582266633075	0.66837291121223164	0.74992440837598007	0.37599569175108705	0.22678665619963509	0.37780794724361505	0.11764860320518622	0.096908345901812173	0.41989254701453677	0.040929787354844524	0.19013882290629561	0.28055023581129174	0.20685184578182975	0.47285067974062561	0.23665338054784202	0.23524384849809793	0.23524384849809793	0.45070089038750927	0.40861629061658666	0.19295788700578381	0.24390240251795314	0.60736030963046383	0.44405595358157357	1.279304373915477	0.47003161564113832	0.29061832188089015	0.48130787203908842	0.7217337673811044	0.70461802106278626	-0.10767516303243205	0.18792384397098461	0.0020669751261931297	0.62346924734182174
BMP4	0.56044302854613448	0.28739653433861895	0.2730998521197891	0.48352285097440034	0.30753270647781578	0.44043144259651845	0.17805711962277768	0.0097187205390881493	0.32686343173144572	0.12127311419024132	0.038110723255356319	0.16758631011039535	0.38102973478588631	0.11885677353353792	0.32948113410954155	0.066704087693016889	0.20081099414007034	0.20866410127435775	-0.022901878326411433	0.20564367545347803	0.40338088586039506	0.050796511703050551	0.27007942629890941	-0.14049712361932312	-0.019076005619963924	0.46197714678545937	0.42673884554186398	0.92772680836509269	0.61541477848614279	0.39955501315394754	0.64139044054570749	0.5354741750935299	0.31679534566184731	0.26363585121436611	0.51996932254634742	0.15953184125471642	0.26464265982132629	0.3969373107758517	3.3146686537455388	0.49379229876539116	0.28135568269685951	0.70904797893341009	0.45593629514369999	0.17181490625962675	-0.28668573334989539	-0.21922955668358432	0.36572624396009623	0.17262035314519455
BMP5|1	-2.6575186410189833	-2.1337768036784621	-2.6484573635563451	-2.1180705894098883	-2.373195890413518	-2.1053848009621938	-2.4005810845228268	-2.1718341690215448	-2.7992772928789327	-2.441054790522613	-2.2656687311902046	-2.4728699425025447	-2.1712300838573695	-2.3043301816974635	-2.4678358994677456	-1.5302957246667195	-2.8218298056748332	-2.0622933925843121	-0.95238758427175763	-2.6162394881336297	2.0557551716029239	-2.674433025615909	-2.1863322129617671	-2.6037550614073268	-2.580397101725858	-2.1970043841955418	-2.6293280000241075	-1.9175143149034839	-2.3236609069510927	-2.3220500131799571	-2.2266045572401616	-2.1692164666434501	-1.4221644802792308	-2.5522064607309822	-2.1959975755885814	-2.2046561296084368	-2.4962279021840135	-2.3671550387717586	2.3934387783772628	-2.7267870731778228	-1.7749502161579667	-2.173847786235465	-3.176427797046097	-1.9136884421970364	-2.0850472671016047	-2.6047618700142872	-2.7314183927698377	-2.0598770519276086
BMP6	-3.505452849800581	-3.1772332439316648	-3.2120688217324771	-3.4192700330448171	-2.9913763750868743	-3.440211652069582	-3.0427236140418277	-3.7154731252124091	-3.7686326196598898	-3.240662186170137	-3.6300957553422135	-2.4766958152089922	-3.1297118776831594	-3.1627351999914426	-3.3085210862792311	-3.602106476068728	-3.4835044221688554	-3.4164509689453291	-3.6176113286159097	-3.6697640144564305	-0.2075505768428503	-3.4609519093729553	-2.645638299456857	-3.8338738173908888	-3.0205738246887104	-3.6119732004169349	-2.6969855384118104	-4.1165856742252176	-3.4422252692835023	-3.3528206649854657	-3.4665900375719296	-3.9140157825048933	-3.0413140819920836	-3.6413720117401627	-2.7994786546003243	-3.420075479930385	-3.3016747877519057	-3.2706650826575405	0.78939130576880689	-3.8320615618983616	-3.5795539632728279	-3.6155977114019913	-3.3206027895627499	-3.0674911057730396	-3.5000160833229979	-4.1745778499861066	-3.7197017213616399	-3.4096046704180019
BMP7	-1.4280039701995977	-1.6547372684869592	-1.2634914438223557	-1.4358570773338843	-1.0776345749775651	-1.0877026610471636	-1.161602412798018	-1.3573260059910155	-1.514790872119538	-1.3871275407570269	-0.8360005093071976	-1.4630409097218007	-1.0230655484803399	-1.3432306854935772	-1.1344185804101015	-1.2169768861808103	-1.6178880734722283	-1.0295091235648832	-1.1644214768975054	-1.553049599184013	0.92893497869344432	-1.3033610646579665	-0.75928169345685592	-1.1553601994348661	-1.1285790904897337	-1.27617723227005	-1.3182618320409727	-1.3786703484585641	-0.71739845540732572	-1.3913561369062584	-1.2566451452950285	-1.0826686180123644	-0.65014364046240702	-1.0347445283210748	-1.0814604476840126	-1.2558396984094606	-1.6855456118599308	-1.1253573029474624	3.5136140344808071	-1.4197481396225264	-0.57604252699016023	-0.55409409935843534	-0.44394923775702627	-0.39783740355826469	-2.1367972294993418	-1.2755731471058747	-0.088948522942978406	-1.9042244412916134
CSF2	0.41948982357175291	0.17161354453823435	0.28357066163217143	0.18651431192124049	0.063683661872137184	0.14040247772247888	0.17845984306556156	-0.035184943331321765	0.24792963694579215	0.22316214521457997	0.58883503126240255	0.385862416099294	0.37780794724361505	0.41848301496479356	0.50768625754143715	0.33411245370155684	0.20403278168234243	0.26585083014967797	0.56084575198891828	-0.0065915788936611952	0.96195830100172786	0.20685184578182975	0.3133721963981837	0.4726493180192341	0.20161644102563814	0.13536843468767967	0.41747620635783339	0.37639841519387096	0.30652589787085649	0.37700250035804639	0.062676853265176982	0.53789051575023328	0.0077051033251686416	0.34136147567166797	0.6738096776898147	0.19134699323464821	-0.072436861788836654	0.091068855981445151	2.3757189468947688	0.24611738145326414	0.60011128766035271	0.27672436310484422	0.29947823762213688	0.10254647410078768	-0.062570137440629739	0.21510767635890107	0.36310854158200045	0.3534431789551859
