	ALCAM|1	BCAN|1	BGN	CD44|1	CDH15	CDH1|1	CDH20	CDH3|1	CDH6|1	CDH8	CEACAM6	COL1	COL23A1|1	COL2A1|2	COL3A1|1	COL4	COL5A1	DCN|A	DSG2	ECM1|1	ELN|3	FBN1	FN1|1	GAP43|1	HA<500kDa	HA>500kDa	ICAM1	ITGA10B1	ITGA2B1	ITGA3B1	ITGA4B1	ITGA6B4	ITGA9B1	ITGAMB2	ITGAVB6	LAMB1	LUM	Laminin3B32	NID1|1	OMD	PECAM1|Long	POSTN|1	SPARC	SPP1|A	THBS1|1	TNC|1	VCAM1|1	VTN
ANGPT1|1	-0.15499401669665963	-0.22157081580611257	-0.15659185987528679	0.051545980755375989	-0.17223427989692222	0.35266971535834285	-0.2121481880234268	-0.080705032670233989	-0.47818192807831744	-0.279924263165161	-0.070469184925271516	-0.29935932661525888	-0.5921488970773584	0.068957824431195219	0.14888930388818705	-0.1777266424113747	-0.52588487487647262	-0.38688860400551928	0.065987337448110292	-0.57955739238672543	0.45915148611119877	-0.29826550108358096	0.24975360136316171	-0.38299587196631463	-0.37894049593465495	-0.34980398642908911	-0.021588409654280331	0.25940321581663756	-0.28925216422696487	-0.26952219683450146	-0.25057149076852819	-0.054097547882517451	-0.29987585533855099	-0.33535905514311354	-0.6259716983215794	0.073399256532859489	-0.28409938807038676	-0.018530345136796848	1.4352031069881803	-0.1687293912243428	-0.020689399454225713	0.35988503181484965	-0.46096311243750016	0.079990806468851025	-0.41953536407352726	-0.33340375264040878	-0.066478151571944477	-0.11028479173765529
ANGPT2|1	0.3806838025863053	-0.19378728984218144	-0.06611711765462723	0.10263406735254532	0.73344968573876379	-0.12192188003300017	-0.018580389442167566	0.69759472823716018	-0.15036849304309585	0.73595905019378849	0.31334740241318765	0.19043501382910535	0.077199049147804483	0.085633301899415648	-0.17940670123454008	0.033013502098572421	-0.109795072463668	0.51842539122974629	0.51767651394580305	-0.07494815025596363	0.086421499709005797	-0.20264513189282424	0.3715793136020486	0.13106459469305684	0.36291092499316646	0.58429084628428385	0.85018517720278453	-0.26735956792383292	0.17276043755008888	-0.2140177002883536	0.39161133412335775	0.1978487202104752	0.010607951665388034	0.36485014182628778	0.35167240384416742	0.59820673777062439	0.30090960523190735	0.8533951619330008	4.9668547591627137	0.18532692008803764	0.31039300109968687	0.76321174906146394	0.21514617690259027	0.47186988886187947	0.39651031415984023	1.3085391827979047	0.16877297879000311	-0.1282524846624159
AREG	0.16961658279482669	0.17938773341848763	-0.27790819257736177	0.52766392746053181	-0.083571856449335416	0.39443883737681151	0.13471782898513018	0.2164187320963066	0.0073979669351717688	0.44657070520028808	-0.14309240850149685	0.11669830445837902	-0.71825518472207361	-0.12894059386126461	0.034791862235859408	0.11654459694902559	-0.16947469391504399	0.24730857958647129	-0.016131793072236649	-0.32143780176691183	-0.085587927037133887	0.0038287355842565136	0.36032113219022499	-0.12521944229761658	-0.10092471933668312	-0.19722783583642822	-0.022650063846789973	0.08459845715621081	0.35675547543255021	0.042893677816077176	0.079627985254912353	0.18022061364358896	-0.01744903068146178	0.6539668177334893	0.36347928531844986	-0.0097636552137930904	0.32496125585246821	-0.24616401730265206	1.1314788558025481	0.39502685796491882	0.35158661360638871	-0.27598684871044515	0.057147368363671493	-0.065993794187819893	0.14533258361361467	0.28484717050448155	0.3093527944666209	0.095004098080110053
BMP2	-0.68942609023521617	-0.672696993868383	-0.51685723964689301	-0.5148036358300675	-0.37620771940208148	-0.57072099789552722	-0.62710841897214631	-0.55972197449365868	-0.81363963075893941	-0.49171712538451617	-0.66370152997797172	-0.6727577619534767	-0.5389571623579904	-0.58269231065888605	-0.6862929592596746	-0.4998582614903832	-1.0540417499808461	-0.44026800487002804	-0.58492464413775003	-0.6248689363068014	0.35075015878804688	-0.3583883720968124	-0.40234335788201475	-0.63355162328864556	-0.46683080724223414	-0.39591087734523855	-0.51143100710739542	-0.55576132518287935	-0.50221928032591634	-0.86035420252602079	-0.6060987471994872	-0.61485292604614561	-0.30559341722717209	-0.75630851706675373	-0.23845183238567777	-0.27552036429252458	-0.68259504255209247	-0.46944740949448199	0.336462509604666	-0.90475779976293813	-0.54231370541107993	-0.6622985021309663	-0.47234640461275174	-0.92814993793057732	-0.60417919062918879	0.14715920075965175	0.018774109923941622	-0.55754683450664733
BMP3	0.053081268552288771	-0.25520237631195386	-0.18669887144572245	-0.2472846522836348	-0.30250854326038301	-0.21122594296730707	-0.40369455412702882	0.44644916903010134	-0.28825306541616802	-0.10735719987345932	-0.48496293145607039	-0.51379560053616913	-0.21514727175243875	-0.29284641773056508	-0.24799242174530817	-0.27246229977504111	-0.20891675573376606	-0.32877286709698472	0.17960042171631416	-0.4993006249448228	0.71084931997395762	0.055469096837126738	-0.35246884569008863	-0.033145069601708411	-0.12888876225927326	-0.78688201305511074	-0.42300629411032015	-0.24010150716629469	0.15194200651581022	0.15417076540143443	0.062423467987056953	-0.086746095247144481	0.065007898900138084	-0.23578161123481792	-0.4208811984286786	-0.11229192584235058	-0.1869133470401696	0.33392991029357544	0.5446289469812543	0.14993129781787365	0.041322644086755608	-0.14993417996434197	-0.49139362469622677	-0.46098992188680654	0.25920661318839516	-0.31821888055359238	-0.10988264999806814	0.034459425064466809
BMP4	0.3842691196068031	0.3690913967064684	-0.35553227209743321	0.1216383923171314	0.48620043316415013	0.077384927996324626	-0.051532777232260955	-0.013454422734894254	-0.024024494947869162	0.38944513061944636	0.073665563729298014	0.013271023629766914	-0.51617270504128565	-0.40409669586661595	-0.0036332278058634048	-0.33866734118745218	-0.0036296532126213355	0.054296630254152628	0.12633183324227068	0.33226951173323471	0.17438866477126214	0.25425758884654037	0.088950524426855096	-0.2226378318884841	-0.048669528046399214	0.10840346084315856	0.51155323572435507	0.093727968293153247	0.18096234174104889	-0.11625614974637123	-0.18621808865483833	0.63792225597226593	-0.017073698391180225	0.078501988384067689	0.22181994248311926	0.25087244904752543	0.19058514674521829	0.14552561164861658	0.92908359921319217	0.1382995714123883	-0.25977785566014694	0.31846621993397922	0.44002562497642678	0.19267807108769308	0.17477650813788578	0.37085724576741175	-0.27266247699652318	-0.03513611803682113
BMP5|1	-0.4979941111153191	-0.46024998108596565	-0.62920491790786237	-0.012171143761455686	-0.22249127356561246	-0.52899298369932846	-0.29157386253684958	-0.50259103802295668	0.15998662860417551	-0.48889855861416404	-0.71914883303226707	-0.87891349063212842	-0.88548895489853574	-0.91988905295114343	-0.72198706006544466	-0.61302094701024901	-0.60657952999037046	-0.3689941902421961	-0.21681481949925968	-0.39624152722000971	-0.17230577176173822	-0.61746416640853397	-0.41857201119513759	-0.74394757364014974	-0.86478669814458187	-0.7152239296538957	-0.53525924565040828	-0.72391555311884137	-0.31006344607476261	-0.53135578983148146	-0.34949478411376322	-0.42051122802825897	-0.33162717979974404	-0.55124125202991814	-0.28065348018627806	-0.52905911367428249	-0.71665555424682659	0.0041933440948158296	0.10121137924271685	-0.65720291946624065	-0.47073783765440236	-0.50960617725797908	-0.59925340114339998	-0.018305145762627439	-0.75036933039720455	-0.82157344045684111	-0.69796221889418708	0.14992414863139189
BMP6	-0.39903328454105624	-0.26952040953788081	-0.16481521162569285	0.02674724014749252	0.0094051010398678494	0.11890025389469684	-0.26140787017794004	-0.020902087752050658	-0.36378600789038534	-0.21932775854752642	-0.35828649618945035	-0.28743805815727069	-0.057666779233432705	-0.24886640979267782	-0.2074100646827787	-0.21670758170203649	-0.51375806730714046	0.24571788559432667	-0.59222753812865536	-0.11035270900922921	0.28743338871418173	-0.1221166953646235	-0.35268332128453422	-0.22513468526716671	0.23242218603526088	-0.38848108529428615	-0.050794623728039924	-0.18265779378702468	0.7177590087083775	-0.17945495824329016	-0.053532762150474485	-0.0099817054014807415	-0.13665992796472065	-0.044496190437793307	0.24671698440512352	0.13268746002436976	-0.19276853076856076	-0.47272888608951508	1.0962798361606265	-0.27386175302880367	-0.73994402921048141	-0.28880176547862768	-0.20787297450745881	0.3380960987157004	0.35409240346817289	-0.36182534349781953	0.33250007299726525	-0.42909561369598231
BMP7	0.96639162886717034	0.39057470208353151	0.79825527389741147	0.76627517546881019	1.1113163626279514	0.47218266577044743	0.46353215012777005	0.79482545168288776	0.73939244700155349	0.74707246057936105	0.23486542051533066	0.3171364712484096	0.29163353577209328	0.16151119262136765	1.0033904562058227	0.85921459972898484	-0.047797327295650192	0.786786191484382	1.072587432160764	0.29940291418092002	1.2496495464527404	0.66936080352489102	0.79286121269708065	-0.24833200810318251	0.34817823895130867	0.42483539099974998	0.47727288654531275	0.93709783725901219	0.17225999449638094	0.78582998779247415	0.87276052081490574	0.58570102331777096	0.67852606059423992	0.78838582195962903	0.84845149948100795	0.58696285473176435	0.74694556251931399	1.0981672213917566	1.9683429650701951	0.67646530759093337	0.28052548727638338	0.33306128413606689	0.91885490065471154	0.82364560968664358	0.36945957981026822	0.56973688990446436	0.29652000473223444	0.53751550643210955
CSF2	6.6308725951594401	7.4184877460522953	6.7552398431925171	6.6889025418301964	7.5788243385706808	5.4031642482419677	4.8989088908420433	7.4242714379158707	7.0025230544029178	5.2453513185515694	6.2714204353501097	6.3525869367717887	6.2066648914968328	7.8106796053538927	6.9105308973515474	8.0611799504809927	7.5006783684374572	6.488619869846139	5.3802260834159084	4.908964221628346	8.1444929951437572	7.4540656725777392	6.0016869912910149	6.2863479367235895	6.8161562739052011	7.3386831646553512	5.0676904598917627	4.2001760008810827	5.8075347467148895	7.3903271005014624	7.4991144838946182	7.343853813778134	5.6482955543214208	7.2111756364602524	7.3673102946241062	4.1308074444505838	6.6231729213188082	7.0124336141629691	7.889695988941245	5.3194008048308641	5.9518625234044595	5.7959888105471826	7.5116756045427051	6.6834155412056058	4.4500096843687764	5.4306117624412664	5.1997126993499627	7.1831865713849758
